point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.056601939308743354,0.09999632798878462,0.5713664680707884,31,91,143.88738287393699,143.88738287393699
2,-0.11078383265317449,0.11478098844385522,0.3344567645398328,31,65,119.09932138318669,119.09932138318669
3,-0.13489568412007813,0.08932107251793737,0.1309838301758032,50,95,146.35553722073303,146.35553722073303
4,0.15565033502509174,0.0718235223222749,0.030225553168615433,76,177,202.45805909936797,202.45805909936797
5,0.24556490036324874,0.08806772946501978,0.0052974958831515815,74,169,198.04975262225634,198.04975262225634
6,0.1490800618446464,0.14145380265917692,0.2919225552281922,54,109,158.52988343746642,158.52988343746642
7,0.46838596713631375,0.14516090951855612,0.0012524097006407129,62,98,157.26360824842575,157.26360824842575
8,0.6494899805249332,0.17079126076526213,1.4305302988073428e-4,65,75,146.43008261259362,146.43008261259362
9,0.5123497626217706,0.2248679718915368,0.022699957076176763,71,94,158.6573748157329,158.6573748157329
10,0.060375765621280664,0.2849333604908385,0.8321894684026974,94,105,173.0904577751823,173.0904577751823
11,-0.3892041341545198,0.4270287905696639,0.3620722031250052,50,67,128.63643039805058,128.63643039805058
12,-0.5037186978689228,0.2126563073247619,0.017850793651262607,61,47,123.38962227527414,123.38962227527414
13,-0.09421294943405556,0.15791383017112787,0.5507678810977339,86,63,146.9347490668442,146.9347490668442
14,0.13355391042889586,0.19417008407821748,0.4915666484748998,103,62,153.70829894182123,153.70829894182123
15,0.5216925930027525,0.17904455247861709,0.0035710600447929797,115,51,155.16353709491923,155.16353709491923
16,0.6566180371675738,0.16787061886161692,9.1742508198954e-5,123,54,162.5132425083459,162.5132425083459
17,0.6484671582126129,0.16225805289007644,6.428111453898304e-5,136,67,169.43522300860073,169.43522300860073
18,0.6420737246502313,0.12367452220681177,2.0844859710404898e-7,130,75,165.92527699125492,165.92527699125492
19,0.7125772068499963,0.12006807082189555,2.9424543127787837e-9,114,82,156.70770592227743,156.70770592227743
20,0.6608023545008628,0.13021556571119652,3.881482197313131e-7,117,99,161.16544523616315,161.16544523616315
21,0.43297616719474874,0.16539534632285513,0.008849202643766254,143,111,172.99238853976067,172.99238853976067
22,0.5102191750563705,0.14900138740111252,6.164809052191991e-4,135,108,163.1352799667395,163.1352799667395
23,0.40612656181362894,0.13659791437611746,0.0029475703972746564,142,112,165.48565009403055,165.48565009403055
24,0.509308223886336,0.15366642397689192,9.184808671564269e-4,121,116,159.9313084730782,159.9313084730782
25,0.6730380318846336,0.2135080084486533,0.0016199822954003965,89,57,117.89400691444472,117.89400691444472
26,0.8629812793032414,0.28551376793856104,0.0025064991360183924,70,60,108.62686979052043,108.62686979052043
27,0.7057660355910151,0.1861981005010758,1.504024202864661e-4,74,82,122.91076283818937,122.91076283818937
28,0.44098836585481926,0.254016804168009,0.08255325893287518,70,103,131.20915639900488,131.20915639900488
29,0.0908231824443817,0.20174414078987793,0.6525734901373912,93,135,157.1433563808143,157.1433563808143
30,0.5157428698487525,0.35254499108933285,0.14349101610308843,69,62,112.20900801816991,112.20900801816991
31,0.36956745438094174,0.321041118855587,0.24966928770792918,83,54,118.4057632010356,118.4057632010356
32,-0.2094449302905126,0.1784484816148736,0.24051532832863953,212,162,218.85554480075595,218.85554480075595
33,-0.4982733274182003,0.13588835865961793,2.4561961950147435e-4,199,105,195.90605632322084,195.90605632322084
34,-0.5070558060948436,0.14715449864902078,5.695028216051085e-4,229,156,225.52040964266024,225.52040964266024
35,-0.6085063286727745,0.14891686486348793,4.3846747555108446e-5,235,155,230.04618012337696,230.04618012337696
36,-0.687649117722998,0.12551736421913218,4.2890337711654385e-8,251,196,253.8089289498401,253.8089289498401
37,-0.5428840360228904,0.10118004087289814,8.071411135744922e-8,432,351,365.92709385483863,365.92709385483863
38,-0.5546485430983736,0.11072034327517097,5.458447481225134e-7,335,302,326.47561751120077,326.47561751120077
39,-0.6167149015790017,0.11579872392754231,1.0053805926642718e-7,336,342,353.0056772488828,353.0056772488828
40,-0.7066527184037596,0.13034577355665342,5.914386828770459e-8,276,324,334.7740804526777,334.7740804526777
41,-0.503397513789384,0.14080604779071343,3.5007683320848246e-4,268,255,292.8809398910349,292.8809398910349
42,-0.29850829132122847,0.15657438688808228,0.05658600914898624,174,141,224.2310424951247,224.2310424951247
43,-0.1984764073647476,0.17897765722900344,0.2674538388638238,166,135,219.01298095116928,219.01298095116928
44,-0.0827892136412487,0.16473888317228905,0.6152820226641467,156,128,211.45142552413049,211.45142552413049
45,-0.13744571496479097,0.16020126649738795,0.3909164940099644,180,163,245.42708048984852,245.42708048984852
46,-0.14812215525038042,0.1563409682567374,0.34341960689624446,180,168,262.66129149825883,262.66129149825883
47,-0.1860722533705328,0.16256303351069223,0.25236825072533076,206,213,322.42961727648424,322.42961727648424
48,-0.3321561918567113,0.1671171185463146,0.04685978324390829,210,226,350.79578401091385,350.79578401091385
49,-0.3669687964920456,0.1503519527412318,0.014657534733384893,195,205,329.0431285166563,329.0431285166563
50,-0.40145689955324215,0.15398988117696813,0.009133021544522885,187,176,314.05378012367544,314.05378012367544
